,AUROC
0,0.937795593
1,0.93610227
2,0.93766331
3,0.937553047
4,0.93727697
5,0.937602924
6,0.937877999
7,0.937561054
8,0.937076794
9,0.937044432
10,0.937463468
11,0.938047482
12,0.936541323
13,0.937607094
14,0.937713021
15,0.937599588
16,0.938179098
17,0.937001728
18,0.937792591
19,0.937002229
20,0.93717755
21,0.937327682
22,0.936759682
23,0.937219587
24,0.937469974
25,0.937522687
26,0.937076961
27,0.937200069
28,0.93711733
29,0.937492994
30,0.937857982
31,0.937482318
32,0.936928163
33,0.937702678
34,0.937200403
35,0.937135846
36,0.937341527
37,0.937490992
38,0.937709184
39,0.938113206
40,0.937928377
41,0.937302993
42,0.938259001
43,0.937308165
44,0.937597085
45,0.937900686
46,0.936448241
47,0.938180599
48,0.938253997
49,0.937982425
50,0.937438779
51,0.937306663
52,0.937363547
53,0.936843923
54,0.93778842
55,0.937121834
56,0.938015454
57,0.936341981
58,0.937314003
59,0.937260122
60,0.938171257
61,0.935550117
62,0.93741626
63,0.937962907
64,0.938548256
65,0.936887961
66,0.937653302
67,0.937373889
68,0.938009282
69,0.937971582
70,0.936835916
71,0.937108989
72,0.936952852
73,0.93722726
74,0.93696578
75,0.937653468
76,0.937655804
77,0.937653635
78,0.937355206
79,0.937452792
80,0.937202405
81,0.937315671
82,0.937263792
83,0.937226926
84,0.936628066
85,0.937067786
86,0.937429772
87,0.937288647
88,0.937626111
89,0.936669603
90,0.938415973
91,0.938550424
92,0.937021579
93,0.938280353
94,0.937436277
95,0.937531194
96,0.938077675
97,0.937497998
98,0.936660428
99,0.937528692
